date,Holiday Name,Holiday Type
2006-01-02,New Year's Day observed,Federal
2007-01-01,New Year's Day,Federal
2008-01-01,New Year's Day,Federal
2009-01-01,New Year's Day,Federal
2010-01-01,New Year's Day,Federal
2010-12-31,New Year's Day observed,Federal
2012-01-02,New Year's Day observed,Federal
2013-01-01,New Year's Day,Federal
2014-01-01,New Year's Day,Federal
2015-01-01,New Year's Day,Federal
2016-01-01,New Year's Day,Federal
2017-01-02,New Year's Day observed,Federal
2018-01-01,New Year's Day,Federal
2006-01-13,Lee-Jackson Day,State
2007-01-12,Lee-Jackson Day,State
2008-01-18,Lee-Jackson Day,State
2009-01-16,Lee-Jackson Day,State
2010-01-15,Lee-Jackson Day,State
2011-01-14,Lee-Jackson Day,State
2012-01-13,Lee-Jackson Day,State
2013-01-18,Lee-Jackson Day,State
2014-01-17,Lee-Jackson Day,State
2015-01-16,Lee-Jackson Day,State
2016-01-15,Lee-Jackson Day,State
2017-01-13,Lee-Jackson Day,State
2018-01-12,Lee-Jackson Day,State
2006-01-16,Martin Luther King Jr. Day,Federal
2007-01-15,Martin Luther King Jr. Day,Federal
2008-01-21,Martin Luther King Jr. Day,Federal
2009-01-19,Martin Luther King Jr. Day,Federal
2010-01-18,Martin Luther King Jr. Day,Federal
2011-01-17,Martin Luther King Jr. Day,Federal
2012-01-16,Martin Luther King Jr. Day,Federal
2013-01-21,Martin Luther King Jr. Day,Federal
2014-01-20,Martin Luther King Jr. Day,Federal
2015-01-19,Martin Luther King Jr. Day,Federal
2016-01-18,Martin Luther King Jr. Day,Federal
2017-01-16,Martin Luther King Jr. Day,Federal
2018-01-15,Martin Luther King Jr. Day,Federal
2006-02-20,George Washington Day,Federal
2007-02-19,George Washington Day,Federal
2008-02-18,George Washington Day,Federal
2009-02-16,George Washington Day,Federal
2010-02-15,George Washington Day,Federal
2011-02-21,George Washington Day,Federal
2012-02-20,George Washington Day,Federal
2013-02-18,George Washington Day,Federal
2014-02-17,George Washington Day,Federal
2015-02-16,George Washington Day,Federal
2016-02-15,George Washington Day,Federal
2017-02-20,George Washington Day,Federal
2018-02-19,George Washington Day,Federal
2006-05-29,Memorial Day,Federal
2007-05-28,Memorial Day,Federal
2008-05-26,Memorial Day,Federal
2009-05-25,Memorial Day,Federal
2010-05-31,Memorial Day,Federal
2011-05-30,Memorial Day,Federal
2012-05-28,Memorial Day,Federal
2013-05-27,Memorial Day,Federal
2014-05-26,Memorial Day,Federal
2015-05-25,Memorial Day,Federal
2016-05-30,Memorial Day,Federal
2017-05-29,Memorial Day,Federal
2018-05-28,Memorial Day,Federal
2006-07-04,Independence Day,Federal
2007-07-04,Independence Day,Federal
2008-07-04,Independence Day,Federal
2009-07-03,Independence Day observed,Federal
2010-07-05,Independence Day observed,Federal
2011-07-04,Independence Day,Federal
2012-07-04,Independence Day,Federal
2013-07-04,Independence Day,Federal
2014-07-04,Independence Day,Federal
2015-07-03,Independence Day observed,Federal
2016-07-04,Independence Day,Federal
2017-07-04,Independence Day,Federal
2018-07-04,Independence Day,Federal
2006-09-04,Labor Day,Federal
2007-09-03,Labor Day,Federal
2008-09-01,Labor Day,Federal
2009-09-07,Labor Day,Federal
2010-09-06,Labor Day,Federal
2011-09-05,Labor Day,Federal
2012-09-03,Labor Day,Federal
2013-09-02,Labor Day,Federal
2014-09-01,Labor Day,Federal
2015-09-07,Labor Day,Federal
2016-09-05,Labor Day,Federal
2017-09-04,Labor Day,Federal
2018-09-03,Labor Day,Federal
2006-10-09,Colombus Day,Federal
2007-10-08,Colombus Day,Federal
2008-10-13,Colombus Day,Federal
2009-10-12,Colombus Day,Federal
2010-10-11,Colombus Day,Federal
2011-10-10,Colombus Day,Federal
2012-10-08,Colombus Day,Federal
2013-10-14,Colombus Day,Federal
2014-10-13,Colombus Day,Federal
2015-10-12,Colombus Day,Federal
2016-10-10,Colombus Day,Federal
2017-10-09,Colombus Day,Federal
2018-10-08,Colombus Day,Federal
2006-11-10,Veterans Day observed,Federal
2007-11-12,Veterans Day observed,Federal
2008-11-11,Veterans Day,Federal
2009-11-11,Veterans Day,Federal
2010-11-11,Veterans Day,Federal
2011-11-11,Veterans Day,Federal
2012-11-12,Veterans Day observed,Federal
2013-11-11,Veterans Day,Federal
2014-11-11,Veterans Day,Federal
2015-11-11,Veterans Day,Federal
2016-11-11,Veterans Day,Federal
2017-11-10,Veterans Day observed,Federal
2018-11-12,Veterans Day observed,Federal
2006-11-23,Thanksgiving Day,Federal
2006-11-24,Black Friday,None
2007-11-22,Thanksgiving Day,Federal
2007-11-23,Black Friday,None
2008-11-27,Thanksgiving Day,Federal
2008-11-28,Black Friday,None
2009-11-26,Thanksgiving Day,Federal
2009-11-27,Black Friday,None
2010-11-25,Thanksgiving Day,Federal
2010-11-26,Black Friday,None
2011-11-24,Thanksgiving Day,Federal
2011-11-25,Black Friday,None
2012-11-22,Thanksgiving Day,Federal
2012-11-23,Black Friday,None
2013-11-28,Thanksgiving Day,Federal
2013-11-29,Black Friday,None
2014-11-27,Thanksgiving Day,Federal
2014-11-28,Black Friday,None
2015-11-26,Thanksgiving Day,Federal
2015-11-27,Black Friday,None
2016-11-24,Thanksgiving Day,Federal
2016-11-25,Black Friday,None
2017-11-23,Thanksgiving Day,Federal
2017-11-24,Black Friday,None
2018-11-22,Thanksgiving Day,Federal
2018-11-23,Black Friday,None
2006-12-25,Christmas Day,Federal
2007-12-25,Christmas Day,Federal
2008-12-25,Christmas Day,Federal
2009-12-25,Christmas Day,Federal
2010-12-24,Christmas Day observed,Federal
2011-12-26,Christmas Day observed,Federal
2012-12-25,Christmas Day,Federal
2013-12-25,Christmas Day,Federal
2014-12-25,Christmas Day,Federal
2016-12-26,Christmas Day observed,Federal
2017-12-25,Christmas Day,Federal
2018-12-25,Christmas Day,Federal
